material_id,formula_pretty,n_elements,contains_transition_metal,formation_energy_per_atom,energy_per_atom,band_gap,is_semiconductor,density,volume,elements
mp-1235219,LiZn(SbO2)4,4,False,0.3518171852617173,0.4032121994966501,-0.8682128617659177,False,0.9067934352462164,-0.5925865353817483,"['Li', 'O', 'Sb', 'Zn']"
mp-849372,LiVP3HO10,5,False,-0.6087343112864558,-0.0745917294977764,0.555314821459702,True,-1.0291849678234144,1.4654849079077152,"['H', 'Li', 'O', 'P', 'V']"
mp-752865,Li4Mn5Cu3O16,4,True,0.306629046668479,0.1179960258070932,-0.8682128617659177,False,0.4902495015643729,-0.4369417291269068,"['Cu', 'Li', 'Mn', 'O']"
mp-776405,Li6Sb2S7,3,False,0.9838889065609856,0.8566073007762864,-0.8682128617659177,False,-0.5842600507496581,0.4605797862880633,"['Li', 'S', 'Sb']"
mp-1078503,LiTiNCl,4,False,0.2696995078777161,0.1597797811812706,-0.8682128617659177,False,-0.4559727775718821,-0.9123084097260696,"['Cl', 'Li', 'N', 'Ti']"
mp-766696,Li3FePCO7,5,True,-0.3808664397496467,0.0215708698957665,0.4424428347808063,True,-0.593839119803375,0.3138893160608453,"['C', 'Fe', 'Li', 'O', 'P']"
mp-752847,Li4Fe3(OF3)2,4,True,-0.6112709732100607,0.3247968735405174,1.456191715738473,True,-0.1394275761343094,-0.3140791952792453,"['F', 'Fe', 'Li', 'O']"
mp-753430,LiV(OF)2,4,False,-0.7325161259812827,0.1503325369342976,0.8599405371575742,True,-0.5441362018824699,-0.403040351473309,"['F', 'Li', 'O', 'V']"
mp-1235897,LiSm4Tm4O12,4,False,-1.8269405405970585,-0.298310706876545,-0.6503909174671733,False,3.0523892497306,-0.3866760992431127,"['Li', 'O', 'Sm', 'Tm']"
mp-801079,Li3(CoO2)4,3,True,0.931666669188752,0.3560819132659718,-0.8682128617659177,False,0.6492150205388583,-0.847541431847363,"['Co', 'Li', 'O']"
mp-768913,LiVB2O5,4,False,-0.7910078889656709,-0.2524963438719183,0.6702180976409178,True,-0.605800163366627,-0.1627767023577571,"['B', 'Li', 'O', 'V']"
mp-752650,Li4Fe(SiO4)2,4,True,-0.5768258184176617,0.0995337527483941,-0.7195224701961184,False,-0.6460835503678745,0.6062502211891866,"['Fe', 'Li', 'O', 'Si']"
mp-774281,Li4Fe3Ni2Sn3O16,5,True,0.2467305333754977,0.1965866242949032,-0.8682128617659177,False,0.7710932536315529,-0.3336799811909575,"['Fe', 'Li', 'Ni', 'O', 'Sn']"
mp-776777,Li4CrCo2Ni3(PO4)6,6,True,-0.334419240609982,-0.0011939720184504,-0.8682128617659177,False,-0.2001176977822606,0.0727798649236944,"['Co', 'Cr', 'Li', 'Ni', 'O', 'P']"
mp-1175057,Li7Mn2(CoO4)3,4,True,0.344189431260602,0.2699163626044434,-0.8682128617659177,False,0.1696337196297055,-0.6067068800865426,"['Co', 'Li', 'Mn', 'O']"
mp-780388,LiMn3(BO3)3,4,True,-0.4588005825803585,-0.2862228631478926,-0.5766551085329694,False,-0.4229294697899456,-0.1672982444645818,"['B', 'Li', 'Mn', 'O']"
mp-756025,Li4Ti3Nb3V2O16,5,False,-0.9693794495500514,-0.3641208772418582,-0.8682128617659177,False,0.3120121522350285,-0.3193715447905429,"['Li', 'Nb', 'O', 'Ti', 'V']"
mp-760046,LiPH21S3N7,5,False,1.5861159975788663,0.6434291749857174,1.3460281150626698,True,-1.6923626771640248,0.7518858908459427,"['H', 'Li', 'N', 'P', 'S']"
mp-1517519,NaLiCeWO6,5,False,-0.6831958753967474,-0.1453598534855977,0.3939627253254437,True,0.9301852033834408,-0.8185118950480269,"['Ce', 'Li', 'Na', 'O', 'W']"
mp-849448,Li2Fe2CuO6,4,True,0.4685135122156175,0.2235821638616616,-0.8682128617659177,False,0.3226450259395413,-0.2691386470061964,"['Cu', 'Fe', 'Li', 'O']"
mp-677510,LiMgSO4F,5,False,-0.0609713307905461,0.4569825688281616,-0.2733158761865664,False,-0.9203258905933964,-0.6473039010643461,"['F', 'Li', 'Mg', 'O', 'S']"
mp-771148,Li4Mn3Cr5O16,4,True,-0.2503972092696659,-0.2117377930093029,-0.7055742822801907,False,0.2984542850795407,-0.4285240791566047,"['Cr', 'Li', 'Mn', 'O']"
mp-780203,Li9(FeO4)2,3,True,0.0567814726620247,0.4282005716819311,-0.8505406430957367,False,-0.8307271746561198,-0.0830714771115233,"['Fe', 'Li', 'O']"
mp-802705,Li11Fe12(BO3)12,4,True,-0.0407079967900397,-0.0286341813794122,-0.7925134729794717,False,-0.3077295566404776,0.8781421841970136,"['B', 'Fe', 'Li', 'O']"
mp-774082,Li(CoO2)2,3,True,0.5143162664224173,0.1835497219504629,-0.4173343019010305,False,0.6878969830374906,0.277517425606424,"['Co', 'Li', 'O']"
mp-753363,Li4Sb(TeO4)3,4,False,0.1997400516879997,0.422570049602632,-0.8682128617659177,False,0.9994010598979792,-0.5758571704476274,"['Li', 'O', 'Sb', 'Te']"
mp-1222651,Li2MgGe,3,False,1.8161317210069248,1.2871761277486715,-0.8682128617659177,False,-0.6190225675404916,-1.050041210337423,"['Ge', 'Li', 'Mg']"
mp-26963,LiVPO5,4,False,-0.7616859772816738,-0.154501739192594,0.1904952268430907,True,-0.3728211265261776,-0.2238801732405363,"['Li', 'O', 'P', 'V']"
mp-1096468,LiZn2Cu,3,False,3.2409897850396745,1.7749288831674754,0.1072123572479845,True,-2.1465146382292173,0.5428934901070496,"['Cu', 'Li', 'Zn']"
